127.0.0.1 - - [18/Oct/2022:22:23:47 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:23:49 +0800] "GET /Chapter07/count.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:23:49 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:32:10 +0800] "GET /Chapter07/count.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:32:32 +0800] "GET /Chapter07/count.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:49:44 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:51 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:51 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:52 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:53 +0800] "POST /Chapter07/Count.jsp HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:55 +0800] "POST /Chapter07/Count.jsp HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [18/Oct/2022:22:52:58 +0800] "POST /Chapter07/Count.jsp HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:03:19 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:03:24 +0800] "POST /Chapter07/Test.jsp HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:03:53 +0800] "POST /Chapter07/Test.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:04:01 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:04:02 +0800] "POST /Chapter07/Test.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:04:44 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:04:46 +0800] "POST /Chapter07/Count2.jsp HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:05:17 +0800] "POST /Chapter07/Count2.jsp HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:05:55 +0800] "POST /Chapter07/Count2.jsp HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:06:03 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:07:02 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:07:08 +0800] "POST /Chapter07/Test.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:30 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:33 +0800] "POST /Chapter07/Test.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:53 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:56 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:57 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:08:59 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:09:02 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:09:29 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:09:49 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:09:51 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:14:35 +0800] "POST /Chapter07/Count2.jsp HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:14:40 +0800] "GET /Chapter07/count2.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:14:44 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:14:46 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:25:57 +0800] "GET /Chapter07/prime.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:26:01 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:26:04 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:27:28 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:27:38 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:27:40 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:28:18 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:31:53 +0800] "POST /Chapter07/count2.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:32:09 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Oct/2022:23:32:14 +0800] "POST /Chapter07/prime.jsp HTTP/1.1" 200 573
